name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,major_classification,subclass_category,country,country_abrv,pop_density_km_squared,pop_density_mi_squared,1950_pop_thousands,2000_pop_thousands,2015_pop_thousands
Sayh al Uhaymir 287,34010,Valid,H5,373.0,Found,2004.0,20.52693,57.134330000000006,"(20.52693, 57.13433)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 288,34011,Valid,L~5,201.1,Found,2004.0,20.5274,57.135169999999995,"(20.5274, 57.13517)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 289,34012,Valid,H4/5,3.0,Found,2004.0,21.00382,57.26387,"(21.00382, 57.26387)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 290,32488,Valid,CH3,1796.0,Found,2004.0,21.07544,57.14703000000001,"(21.07544, 57.14703)",Chondrite,C,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 291,34040,Valid,L4,259.0,Found,2004.0,20.6004,57.16395,"(20.6004, 57.16395)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 292,34041,Valid,H5,387.0,Found,2004.0,20.60342,57.164269999999995,"(20.60342, 57.16427)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 293,34042,Valid,H5,613.0,Found,2004.0,20.60837,57.16007,"(20.60837, 57.16007)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 294,34043,Valid,H4/5,168.5,Found,2004.0,21.04395,56.965,"(21.04395, 56.965)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 295,34044,Valid,L5,4780.0,Found,2004.0,21.009870000000003,57.038619999999995,"(21.00987, 57.03862)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 296,34045,Valid,L~5,190.5,Found,2004.0,20.793670000000002,57.17375,"(20.79367, 57.17375)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 297,34046,Valid,H~5,1.6,Found,2004.0,20.998379999999997,57.31972,"(20.99838, 57.31972)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 298,34047,Valid,H5,221.5,Found,2004.0,20.79087,57.183519999999994,"(20.79087, 57.18352)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 299,34048,Valid,L5,191.1,Found,2004.0,21.068579999999997,57.30132,"(21.06858, 57.30132)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 300,34049,Valid,Lunar,152.6,Found,2000.0,21.006556,57.334417,"(21.006556, 57.334417)",Achondrite,Lunar,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 301,34050,Valid,H/L4,32.5,Found,2004.0,21.05613,57.29243,"(21.05613, 57.29243)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 302,34051,Valid,L6,15.7,Found,2004.0,21.0596,57.28343,"(21.0596, 57.28343)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 303,34052,Valid,L4/5,10.2,Found,2004.0,21.06242,57.2758,"(21.06242, 57.2758)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 304,34053,Valid,L6,20.2,Found,2004.0,21.06985,57.26393,"(21.06985, 57.26393)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 305,34054,Valid,L5,51.1,Found,2004.0,20.598329999999997,57.163230000000006,"(20.59833, 57.16323)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
