name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,major_classification,subclass_category,country,country_abrv,pop_density_km_squared,pop_density_mi_squared,1950_pop_thousands,2000_pop_thousands,2015_pop_thousands
Aachen,1,Valid,L5,21.0,Fell,1880.0,50.775,6.08333,"(50.775, 6.08333)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Barntrup,4948,Valid,LL4,17.0,Fell,1886.0,52.0,9.1,"(52.0, 9.1)",Chondrite,LL,Germany,DE,233.0,90.0,68376,82017,80673
Breitscheid,5134,Valid,H5,1500.0,Fell,1956.0,50.666940000000004,8.18361,"(50.66694, 8.18361)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,"(53.4, 9.1)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Darmstadt,6603,Valid,H5,100.0,Fell,1804.0,49.86667,8.65,"(49.86667, 8.65)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Eichstädt,7775,Valid,H5,3000.0,Fell,1785.0,48.9,11.21667,"(48.9, 11.21667)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Erxleben,10049,Valid,H6,2250.0,Fell,1812.0,52.21667,11.25,"(52.21667, 11.25)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Forsbach,10163,Valid,H6,240.0,Fell,1900.0,50.95,7.316669999999999,"(50.95, 7.31667)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Gütersloh,11466,Valid,H3/4,1000.0,Fell,1851.0,51.91667,8.38333,"(51.91667, 8.38333)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Hungen,11986,Valid,H6,112.0,Fell,1877.0,50.3,8.91667,"(50.3, 8.91667)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Ibbenbüren,11992,Valid,Diogenite,2000.0,Fell,1870.0,52.28333,7.7,"(52.28333, 7.7)",Achondrite,Diogenite,Germany,DE,233.0,90.0,68376,82017,80673
Kiel,12301,Valid,L6,737.6,Fell,1962.0,54.4,10.15,"(54.4, 10.15)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Klein-Wenden,12332,Valid,H6,3250.0,Fell,1843.0,51.6,10.8,"(51.6, 10.8)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Krähenberg,12353,Valid,LL5,16500.0,Fell,1869.0,49.32694,7.46472,"(49.32694, 7.46472)",Chondrite,LL,Germany,DE,233.0,90.0,68376,82017,80673
Linum,14655,Valid,L6,1862.0,Fell,1854.0,52.75,12.9,"(52.75, 12.9)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Mässing,15443,Valid,Howardite,1600.0,Fell,1803.0,48.13333,12.61667,"(48.13333, 12.61667)",Achondrite,Howardite,Germany,DE,233.0,90.0,68376,82017,80673
Menow,15485,Valid,H4,10500.0,Fell,1862.0,53.183330000000005,13.15,"(53.18333, 13.15)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Meuselbach,16626,Valid,L6,870.0,Fell,1897.0,50.58333,11.1,"(50.58333, 11.1)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Neuschwanstein,16950,Valid,EL6,6189.0,Fell,2002.0,47.525,10.80833,"(47.525, 10.80833)",Chondrite,E,Germany,DE,233.0,90.0,68376,82017,80673
Oesede,17988,Valid,H5,1400.0,Fell,1927.0,52.28333,8.05,"(52.28333, 8.05)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Oldenburg (1930),18009,Valid,L6,16570.0,Fell,1930.0,52.95,8.16667,"(52.95, 8.16667)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Ortenau,18033,Valid,Stone-uncl,4500.0,Fell,1671.0,48.5,8.0,"(48.5, 8.0)",Stony-Iron,Stone,Germany,DE,233.0,90.0,68376,82017,80673
Peckelsheim,18181,Valid,Diogenite-pm,117.8,Fell,1953.0,51.66667,9.25,"(51.66667, 9.25)",Achondrite,Diogenite,Germany,DE,233.0,90.0,68376,82017,80673
Pohlitz,18853,Valid,L5,3000.0,Fell,1819.0,50.93333,12.13333,"(50.93333, 12.13333)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Ramsdorf,22386,Valid,L6,4682.0,Fell,1958.0,51.88333,6.933330000000001,"(51.88333, 6.93333)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Rodach,22642,Valid,Stone-uncl,2900.0,Fell,1775.0,50.35,10.8,"(50.35, 10.8)",Stony-Iron,Stone,Germany,DE,233.0,90.0,68376,82017,80673
Salzwedel,23114,Valid,LL5,43.0,Fell,1985.0,52.75,11.05,"(52.75, 11.05)",Chondrite,LL,Germany,DE,233.0,90.0,68376,82017,80673
Schönenberg,23460,Valid,L6,8000.0,Fell,1846.0,48.11667,10.46667,"(48.11667, 10.46667)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Simmern,23603,Valid,H5,1222.0,Fell,1920.0,49.98333,7.53333,"(49.98333, 7.53333)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Trebbin,24042,Valid,LL6,1250.0,Fell,1988.0,52.21667,13.166670000000002,"(52.21667, 13.16667)",Chondrite,LL,Germany,DE,233.0,90.0,68376,82017,80673
Treysa,24050,Valid,"Iron, IIIAB-an",63000.0,Fell,1916.0,50.91667,9.18333,"(50.91667, 9.18333)",Iron,IIIAB,Germany,DE,233.0,90.0,68376,82017,80673
Benthullen,5025,Valid,L6,17000.0,Found,1951.0,53.05,8.1,"(53.05, 8.1)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Bitburg,5062,Valid,"Iron, IAB complex",1500000.0,Found,1805.0,49.96667,6.53333,"(49.96667, 6.53333)",Iron,IAB,Germany,DE,233.0,90.0,68376,82017,80673
Dermbach,6665,Valid,"Iron, ungrouped",1500.0,Found,1924.0,50.71667,10.11667,"(50.71667, 10.11667)",Iron,Iron,Germany,DE,233.0,90.0,68376,82017,80673
Gilzem,10916,Valid,H5,436.0,Found,1987.0,49.87361,6.50556,"(49.87361, 6.50556)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Hainholz,11473,Valid,Mesosiderite-A4,16500.0,Found,1856.0,52.28333,8.91667,"(52.28333, 8.91667)",Stony-Iron,Mesosiderite,Germany,DE,233.0,90.0,68376,82017,80673
Königsbrück,34493,Valid,H/L4,51.8,Found,2004.0,51.26667,13.9,"(51.26667, 13.9)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Mainz,15389,Valid,L6,1700.0,Found,1852.0,50.0,8.26667,"(50.0, 8.26667)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Marburg,15413,Valid,Pallasite,3000.0,Found,1906.0,50.81667,8.76667,"(50.81667, 8.76667)",Stony-Iron,Pallasite,Germany,DE,233.0,90.0,68376,82017,80673
Nenntmannsdorf,16943,Valid,"Iron, IIAB",12500.0,Found,1872.0,50.96667,13.95,"(50.96667, 13.95)",Iron,IIAB,Germany,DE,233.0,90.0,68376,82017,80673
Nieder Finow,16971,Valid,"Iron, IAB complex",287.0,Found,1950.0,52.833330000000004,13.933329999999998,"(52.83333, 13.93333)",Iron,IAB,Germany,DE,233.0,90.0,68376,82017,80673
Obernkirchen,17976,Valid,"Iron, IVA",41000.0,Found,1863.0,52.26667,9.1,"(52.26667, 9.1)",Iron,Iron,Germany,DE,233.0,90.0,68376,82017,80673
Steinbach,23722,Valid,"Iron, IVA-an",98000.0,Found,1724.0,50.5,12.5,"(50.5, 12.5)",Iron,Iron,Germany,DE,233.0,90.0,68376,82017,80673
Tabarz,23774,Valid,"Iron, IAB-MG",150.0,Found,1854.0,50.88333,10.51667,"(50.88333, 10.51667)",Iron,IAB,Germany,DE,233.0,90.0,68376,82017,80673
Unter-Mässing,24124,Valid,"Iron, IIC",80000.0,Found,1920.0,49.09028,11.33333,"(49.09028, 11.33333)",Iron,Iron,Germany,DE,233.0,90.0,68376,82017,80673
Wernigerode,24243,Valid,H5,24.3,Found,1970.0,51.85,10.78333,"(51.85, 10.78333)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Aarhus,2,Valid,H6,720.0,Fell,1951.0,56.183330000000005,10.23333,"(56.18333, 10.23333)",Chondrite,H,Denmark,DK,133.0,52.0,4271,5320,5372
Maribo,48973,Valid,CM2,25.81,Fell,2009.0,54.76183,11.46745,"(54.76183, 11.46745)",Chondrite,C,Denmark,DK,133.0,52.0,4271,5320,5372
Mern,15489,Valid,L6,4000.0,Fell,1878.0,55.05,12.06667,"(55.05, 12.06667)",Chondrite,L,Denmark,DK,133.0,52.0,4271,5320,5372
Felsted,10082,Valid,"Iron, IIIAB",13500.0,Found,1977.0,54.990559999999995,9.49194,"(54.99056, 9.49194)",Iron,IIIAB,Denmark,DK,133.0,52.0,4271,5320,5372
Jerslev,12084,Valid,"Iron, IIAB",40000.0,Found,1976.0,55.608833,11.229167,"(55.608833, 11.229167)",Iron,IIAB,Denmark,DK,133.0,52.0,4271,5320,5372
Abee,6,Valid,EH4,107000.0,Fell,1952.0,54.21666999999999,-113.0,"(54.21667, -113.0)",Chondrite,E,Canada,CA,4.0,1.0,13737,30757,34419
Beaver Creek,4986,Valid,H5,14000.0,Fell,1893.0,51.16667,-117.33333,"(51.16667, -117.33333)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,"(45.95, -67.55)",Chondrite,LL,Canada,CA,4.0,1.0,13737,30757,34419
Bruderheim,5156,Valid,L6,303000.0,Fell,1960.0,53.9,-112.88333,"(53.9, -112.88333)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Buzzard Coulee,48654,Valid,H4,41000.0,Fell,2008.0,52.996,-109.84817,"(52.996, -109.84817)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
De Cewsville,6621,Valid,H6,340.0,Fell,1887.0,43.0,-80.0,"(43.0, -80.0)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939.0,42.52,-82.26,"(42.52, -82.26)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Grimsby,50911,Valid,H5,215.0,Fell,2009.0,43.2,-79.61667,"(43.2, -79.61667)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Innisfree,12039,Valid,L5,4576.0,Fell,1977.0,53.415,-111.3375,"(53.415, -111.3375)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Kitchener,12326,Valid,L6,202.6,Fell,1998.0,43.38333,-80.38333,"(43.38333, -80.38333)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Peace River,18180,Valid,L6,45760.0,Fell,1963.0,56.13333000000001,-117.93333,"(56.13333, -117.93333)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Revelstoke,22592,Valid,CI1,1.0,Fell,1965.0,51.33333,-118.95,"(51.33333, -118.95)",Chondrite,C,Canada,CA,4.0,1.0,13737,30757,34419
Shelburne,23529,Valid,L5,18600.0,Fell,1904.0,44.05,-80.16667,"(44.05, -80.16667)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
St-Robert,23733,Valid,H5,25400.0,Fell,1994.0,45.96861,-72.97806,"(45.96861, -72.97806)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Tagish Lake,23782,Valid,C2-ung,10000.0,Fell,2000.0,59.704440000000005,-134.20139,"(59.70444, -134.20139)",Chondrite,C,Canada,CA,4.0,1.0,13737,30757,34419
Vilna,24183,Valid,L5,0.1,Fell,1967.0,54.225,-111.69167,"(54.225, -111.69167)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Vilna,24183,Valid,L5,0.1,Fell,1967.0,54.225,-111.69167,"(54.225, -111.69167)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Annaheim,2306,Valid,"Iron, IAB-sLL",13500.0,Found,1916.0,52.33333,-104.86667,"(52.33333, -104.86667)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Belly River,5007,Valid,H6,7900.0,Found,1943.0,49.5,-113.0,"(49.5, -113.0)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Bernic Lake,54851,Valid,"Iron, IAB-MG",9162.0,Found,2002.0,50.43845,-95.52937,"(50.43845, -95.52937)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Blaine Lake,5070,Valid,L6,1896.4,Found,1974.0,52.77,-106.89667,"(52.77, -106.89667)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Blithfield,5075,Valid,EL6,1830.0,Found,1910.0,45.5,-77.0,"(45.5, -77.0)",Chondrite,E,Canada,CA,4.0,1.0,13737,30757,34419
Bruno,5158,Valid,"Iron, IIAB",13000.0,Found,1931.0,52.26667,-105.35,"(52.26667, -105.35)",Iron,IIAB,Canada,CA,4.0,1.0,13737,30757,34419
Burstall,45985,Valid,"Iron, IAB complex",360.0,Found,1992.0,50.65,-109.9,"(50.65, -109.9)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Catherwood,5298,Valid,L6,3920.0,Found,1965.0,51.965,-107.43833000000001,"(51.965, -107.43833)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Chambord,5318,Valid,"Iron, IIIAB",6600.0,Found,1904.0,48.45,-72.06667,"(48.45, -72.06667)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Edmonton (Canada),7770,Valid,"Iron, IIAB",7340.0,Found,1939.0,53.666669999999996,-113.41667,"(53.66667, -113.41667)",Iron,IIAB,Canada,CA,4.0,1.0,13737,30757,34419
Ferintosh,10090,Valid,OC,2201.0,Found,1965.0,52.8,-112.98333000000001,"(52.8, -112.98333)",Chondrite,C,Canada,CA,4.0,1.0,13737,30757,34419
Fillmore,10093,Valid,Iron,113.0,Found,1916.0,49.883333,-103.6,"(49.883333, -103.6)",Iron,Iron,Canada,CA,4.0,1.0,13737,30757,34419
Garden Head,10857,Valid,"Iron, IAB-sHH",1296.0,Found,1944.0,49.81667,-108.46,"(49.81667, -108.46)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Gay Gulch,10867,Valid,"Iron, IAB-sHH",483.0,Found,1901.0,63.916669999999996,-139.33333000000002,"(63.91667, -139.33333)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Giroux,10918,Valid,"Pallasite, PMG",4275.0,Found,1954.0,49.61667,-96.55,"(49.61667, -96.55)",Stony-Iron,Pallasite,Canada,CA,4.0,1.0,13737,30757,34419
Great Bear Lake,11179,Valid,H6,40.0,Found,1936.0,66.0,-120.0,"(66.0, -120.0)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Hagersville,11470,Valid,"Iron, IAB complex",30000.0,Found,1999.0,42.96667,-80.15,"(42.96667, -80.15)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Holman Island,11899,Valid,LL,552.0,Found,1951.0,70.73333000000001,-117.75,"(70.73333, -117.75)",Chondrite,LL,Canada,CA,4.0,1.0,13737,30757,34419
Homewood,11902,Valid,L6,325.0,Found,1970.0,49.50833,-97.81667,"(49.50833, -97.81667)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Iron Creek,12047,Valid,"Iron, IIIAB",175000.0,Found,1869.0,53.0,-112.0,"(53.0, -112.0)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Kinley,12319,Valid,L6,2000.0,Found,1965.0,52.04667,-107.23333000000001,"(52.04667, -107.23333)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Kinsella,12320,Valid,"Iron, IIIAB",3720.0,Found,1946.0,53.2,-111.43333,"(53.2, -111.43333)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Lac Dodon,12409,Valid,"Iron, IAB complex",800.0,Found,1993.0,45.95,-73.91667,"(45.95, -73.91667)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Lone Island Lake,55762,Valid,"Iron, IAB-sLL",4800.0,Found,2005.0,50.009570000000004,-95.38537,"(50.00957, -95.38537)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Madoc,15381,Valid,"Iron, IIIAB",168000.0,Found,1854.0,44.5,-77.46667,"(44.5, -77.46667)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Manitouwabing,15406,Valid,"Iron, IIIAB",39000.0,Found,1962.0,45.44,-79.87556,"(45.44, -79.87556)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Mayerthorpe,15449,Valid,"Iron, IAB complex",12610.0,Found,1964.0,53.775,-115.03333,"(53.775, -115.03333)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Midland,16633,Valid,Iron,34.0,Found,1960.0,44.75,-79.88333,"(44.75, -79.88333)",Iron,Iron,Canada,CA,4.0,1.0,13737,30757,34419
Millarville,16642,Valid,"Iron, IVA",15636.0,Found,1977.0,50.79722,-114.30944,"(50.79722, -114.30944)",Iron,Iron,Canada,CA,4.0,1.0,13737,30757,34419
Osseo,18037,Valid,"Iron, IAB complex",46300.0,Found,1931.0,47.63333,-80.08333,"(47.63333, -80.08333)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Penouille,18789,Valid,"Iron, IAB complex",72.54,Found,1984.0,48.85,-64.43333,"(48.85, -64.43333)",Iron,IAB,Canada,CA,4.0,1.0,13737,30757,34419
Red Deer Hill,22538,Valid,L6,2510.0,Found,1975.0,53.075,-105.84167,"(53.075, -105.84167)",Chondrite,L,Canada,CA,4.0,1.0,13737,30757,34419
Redwater,51705,Valid,H4,229.5,Found,2009.0,53.9329,-112.977,"(53.9329, -112.977)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Riverton,22613,Valid,H5,103.3,Found,1960.0,50.94,-96.99167,"(50.94, -96.99167)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Skiff,23622,Valid,H4,3540.0,Found,1966.0,49.25,-111.86667,"(49.25, -111.86667)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Skookum,23623,Valid,"Iron, IVB",16000.0,Found,1905.0,63.916669999999996,-139.33333000000002,"(63.91667, -139.33333)",Iron,Iron,Canada,CA,4.0,1.0,13737,30757,34419
Southampton,23682,Valid,Pallasite,3580.0,Found,2001.0,44.50642,-81.37217,"(44.50642, -81.37217)",Stony-Iron,Pallasite,Canada,CA,4.0,1.0,13737,30757,34419
Springwater,23692,Valid,"Pallasite, PMG-an",67600.0,Found,1931.0,52.0,-108.3,"(52.0, -108.3)",Stony-Iron,Pallasite,Canada,CA,4.0,1.0,13737,30757,34419
Thurlow,23979,Valid,"Iron, IIIAB",5500.0,Found,1888.0,44.75,-77.58333,"(44.75, -77.58333)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Vulcan,24192,Valid,H6,19000.0,Found,1962.0,50.51667,-113.13333,"(50.51667, -113.13333)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Welland,24235,Valid,"Iron, IIIAB",8200.0,Found,1888.0,43.01667,-79.21667,"(43.01667, -79.21667)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Whitecourt,47345,Valid,"Iron, IIIAB",5372.0,Found,2007.0,53.99916700000001,-115.5975,"(53.999167, -115.5975)",Iron,IIIAB,Canada,CA,4.0,1.0,13737,30757,34419
Wood Lake,50910,Valid,H4,350.0,Found,2003.0,45.0,-79.06667,"(45.0, -79.06667)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Wynyard,24344,Valid,H5,3479.0,Found,1968.0,51.88333,-104.18333,"(51.88333, -104.18333)",Chondrite,H,Canada,CA,4.0,1.0,13737,30757,34419
Acapulco,10,Valid,Acapulcoite,1914.0,Fell,1976.0,16.883329999999997,-99.9,"(16.88333, -99.9)",Achondrite,Acapulcoite,Mexico,MX,64.0,25.0,27737,98872,119175
Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.96667, -105.31667)",Chondrite,C,Mexico,MX,64.0,25.0,27737,98872,119175
Atemajac,4884,Valid,L6,94.2,Fell,1896.0,20.066670000000002,-103.66667,"(20.06667, -103.66667)",Chondrite,L,Mexico,MX,64.0,25.0,27737,98872,119175
Avilez,4907,Valid,H,146.0,Fell,1855.0,25.0,-103.5,"(25.0, -103.5)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Bocas,5093,Valid,L6,56.0,Fell,1804.0,23.0,-102.0,"(23.0, -102.0)",Chondrite,L,Mexico,MX,64.0,25.0,27737,98872,119175
Ceniceros,5306,Valid,L3.7,1025.0,Fell,1988.0,26.46667,-105.23333000000001,"(26.46667, -105.23333)",Chondrite,L,Mexico,MX,64.0,25.0,27737,98872,119175
Cosina,5451,Valid,H5,1200.0,Fell,1844.0,21.16667,-100.86667,"(21.16667, -100.86667)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
El Paso de Aguila,45977,Valid,H5,17226.0,Fell,1977.0,25.37,-97.37,"(25.37, -97.37)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
El Tigre,7819,Valid,L6,5000.0,Fell,1993.0,19.96722,-103.05167,"(19.96722, -103.05167)",Chondrite,L,Mexico,MX,64.0,25.0,27737,98872,119175
La Charca,12394,Valid,OC,399.0,Fell,1878.0,20.66667,-101.28333,"(20.66667, -101.28333)",Chondrite,C,Mexico,MX,64.0,25.0,27737,98872,119175
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,Fell,1885.0,24.683329999999998,-101.68333,"(24.68333, -101.68333)",Iron,IAB,Mexico,MX,64.0,25.0,27737,98872,119175
Nuevo Mercurio,17938,Valid,H5,50000.0,Fell,1978.0,24.3,-102.13333,"(24.3, -102.13333)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Pacula,18068,Valid,L6,3400.0,Fell,1881.0,21.05,-99.3,"(21.05, -99.3)",Chondrite,L,Mexico,MX,64.0,25.0,27737,98872,119175
Rancho de la Presa,22390,Valid,H5,300.0,Fell,1899.0,19.866670000000003,-100.81667,"(19.86667, -100.81667)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
San Pedro Jacuaro,34063,Valid,LL6,460.0,Fell,1968.0,19.76667,-100.65,"(19.76667, -100.65)",Chondrite,LL,Mexico,MX,64.0,25.0,27737,98872,119175
Santa Cruz,23164,Valid,CM2,60.0,Fell,1939.0,24.16667,-99.33333,"(24.16667, -99.33333)",Chondrite,C,Mexico,MX,64.0,25.0,27737,98872,119175
Silao,23594,Valid,H5,1710.0,Fell,1995.0,20.933329999999998,-101.38333,"(20.93333, -101.38333)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Tomatlan,24020,Valid,H6,900.0,Fell,1879.0,20.16667,-105.21667,"(20.16667, -105.21667)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Tuxtuac,24086,Valid,LL5,30000.0,Fell,1975.0,21.66667,-103.36667,"(21.66667, -103.36667)",Chondrite,LL,Mexico,MX,64.0,25.0,27737,98872,119175
Abajo,4,Valid,H5,331.0,Found,1982.0,26.8,-105.41667,"(26.8, -105.41667)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Abajo,4,Valid,H5,331.0,Found,1982.0,26.8,-105.41667,"(26.8, -105.41667)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Acuña,373,Valid,"Iron, IIIAB",217700.0,Found,1981.0,29.316670000000002,-100.96667,"(29.31667, -100.96667)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Acuña,373,Valid,"Iron, IIIAB",217700.0,Found,1981.0,29.316670000000002,-100.96667,"(29.31667, -100.96667)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Ahumada,419,Valid,"Pallasite, PMG",52600.0,Found,1909.0,30.7,-105.5,"(30.7, -105.5)",Stony-Iron,Pallasite,Mexico,MX,64.0,25.0,27737,98872,119175
Ahumada,419,Valid,"Pallasite, PMG",52600.0,Found,1909.0,30.7,-105.5,"(30.7, -105.5)",Stony-Iron,Pallasite,Mexico,MX,64.0,25.0,27737,98872,119175
Aldama (a),459,Valid,"Iron, IIIAB",11000.0,Found,1985.0,28.83333,-105.86667,"(28.83333, -105.86667)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Aldama (a),459,Valid,"Iron, IIIAB",11000.0,Found,1985.0,28.83333,-105.86667,"(28.83333, -105.86667)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Aldama (b),460,Valid,H5,66.5,Found,1996.0,25.05,-106.0,"(25.05, -106.0)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Aldama (b),460,Valid,H5,66.5,Found,1996.0,25.05,-106.0,"(25.05, -106.0)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Ameca-Ameca,2292,Valid,Iron,1.2,Found,1889.0,20.58333,-104.06667,"(20.58333, -104.06667)",Iron,Iron,Mexico,MX,64.0,25.0,27737,98872,119175
Apoala,2317,Valid,"Iron, IIIAB",85000.0,Found,1889.0,17.7,-97.0,"(17.7, -97.0)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Arispe,2332,Valid,"Iron, IC",683000.0,Found,1896.0,30.33333,-109.98333000000001,"(30.33333, -109.98333)",Iron,Iron,Mexico,MX,64.0,25.0,27737,98872,119175
Bacubirito,4919,Valid,"Iron, ungrouped",22000000.0,Found,1863.0,26.2,-107.83333,"(26.2, -107.83333)",Iron,Iron,Mexico,MX,64.0,25.0,27737,98872,119175
Bella Roca,5003,Valid,"Iron, IIIAB",33000.0,Found,1888.0,24.9,-105.4,"(24.9, -105.4)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Buenaventura,5162,Valid,"Iron, IIIAB",113600.0,Found,1969.0,29.8,-107.55,"(29.8, -107.55)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Cacaria,5188,Valid,"Iron, IIIAB",41400.0,Found,1867.0,24.5,-104.8,"(24.5, -104.8)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Carbo,5266,Valid,"Iron, IID",454000.0,Found,1923.0,29.66667,-111.5,"(29.66667, -111.5)",Iron,Iron,Mexico,MX,64.0,25.0,27737,98872,119175
Carichic,5270,Valid,H5,17000.0,Found,1983.0,27.933329999999998,-107.05,"(27.93333, -107.05)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000.0,Found,1867.0,30.4,-107.8,"(30.4, -107.8)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Cerro los Calvos,5310,Valid,H4-an,68.0,Found,1986.0,24.33333,-102.13333,"(24.33333, -102.13333)",Chondrite,H,Mexico,MX,64.0,25.0,27737,98872,119175
Charcas,5326,Valid,"Iron, IIIAB",1400000.0,Found,1804.0,23.08333,-101.01666999999999,"(23.08333, -101.01667)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
Chihuahua City,5350,Valid,"Iron, IC",54000.0,Found,1929.0,28.66667,-106.11667,"(28.66667, -106.11667)",Iron,Iron,Mexico,MX,64.0,25.0,27737,98872,119175
Chupaderos,5363,Valid,"Iron, IIIAB",24300000.0,Found,1852.0,27.0,-105.1,"(27.0, -105.1)",Iron,IIIAB,Mexico,MX,64.0,25.0,27737,98872,119175
