id, reclat, reclong, country, country_abrv
18677,-85.63333,-68.7,Antarctica,AQ
18678,-85.68994,-69.09884,Antarctica,AQ
18679,-85.6927,-69.01495,Antarctica,AQ
18680,-85.63333,-68.7,Antarctica,AQ
18681,-85.68828,-68.3393,Antarctica,AQ
18682,-85.68838000000001,-68.33979000000001,Antarctica,AQ
18683,-85.68789,-69.05136999999999,Antarctica,AQ
18684,-85.68994,-68.91388,Antarctica,AQ
18685,-85.68764,-68.36274,Antarctica,AQ
18686,-85.64599,-69.05071,Antarctica,AQ
18687,-85.68779,-68.34962,Antarctica,AQ
18688,-85.67376,-68.73391,Antarctica,AQ
18689,-85.67129,-68.7591,Antarctica,AQ
18690,-85.69895,-68.96915,Antarctica,AQ
18691,-85.69224,-69.05878,Antarctica,AQ
18692,-85.69991999999999,-68.47189,Antarctica,AQ
18693,-85.58234,-68.39884,Antarctica,AQ
18694,-85.69266,-69.0141,Antarctica,AQ
18695,-85.67069000000001,-68.62513,Antarctica,AQ
18696,-85.69187,-69.08121,Antarctica,AQ
18697,-85.69465,-69.07431,Antarctica,AQ
18698,-85.69060999999999,-69.09421999999999,Antarctica,AQ
18699,-85.69025,-69.09803000000001,Antarctica,AQ
18700,-85.69865,-68.82044,Antarctica,AQ
18701,-85.68991,-68.84543000000001,Antarctica,AQ
18702,-85.68834,-68.33969,Antarctica,AQ
18703,-85.68831999999999,-68.34102,Antarctica,AQ
18704,-85.70003,-68.54934,Antarctica,AQ
18705,-85.69516,-69.01524,Antarctica,AQ
18706,-85.69025,-68.94491,Antarctica,AQ
18707,-85.70188,-68.51262,Antarctica,AQ
18708,-85.69048000000001,-68.91223000000001,Antarctica,AQ
18709,-85.69023,-69.0905,Antarctica,AQ
18710,-85.69321,-69.0472,Antarctica,AQ
18711,-85.68839,-68.34103,Antarctica,AQ
18712,-85.68977,-68.94836,Antarctica,AQ
18713,-85.6932,-69.02152,Antarctica,AQ
18714,-85.69055,-69.09059,Antarctica,AQ
18715,-85.68776,-68.90476,Antarctica,AQ
18716,-85.68684,-68.95035,Antarctica,AQ
18717,-85.69376,-69.09772,Antarctica,AQ
18718,-85.69206,-69.08598,Antarctica,AQ
18719,-85.68768,-68.36234,Antarctica,AQ
18720,-85.68290999999999,-68.52591,Antarctica,AQ
18721,-85.68693,-68.37471,Antarctica,AQ
18722,-85.63333,-68.7,Antarctica,AQ
18723,-85.63333,-68.7,Antarctica,AQ
18724,-85.69246,-69.01361,Antarctica,AQ
18725,-85.69088,-68.52405,Antarctica,AQ
18726,-85.69246,-69.09583,Antarctica,AQ
18727,-85.69009,-69.09991,Antarctica,AQ
18728,-85.65111,-68.58766999999999,Antarctica,AQ
18729,-85.67015,-68.40572,Antarctica,AQ
18730,-85.68217,-68.2347,Antarctica,AQ
18731,-85.67654,-69.03311,Antarctica,AQ
18732,-85.67609,-69.03787,Antarctica,AQ
18733,-85.68261,-68.79651,Antarctica,AQ
18734,-85.678,-69.06126,Antarctica,AQ
18735,-85.65804,-68.63396,Antarctica,AQ
18736,-85.67130999999999,-67.92851,Antarctica,AQ
18737,-85.67856,-69.05905,Antarctica,AQ
18738,-85.66111,-68.35643,Antarctica,AQ
18739,-85.65807,-68.17227,Antarctica,AQ
18740,-85.65992,-68.4523,Antarctica,AQ
18741,-85.66861,-68.06133,Antarctica,AQ
18742,-85.65106999999999,-68.60045,Antarctica,AQ
18743,-85.67874,-69.06662,Antarctica,AQ
18744,-85.65916999999999,-68.16705999999999,Antarctica,AQ
18745,-85.6771,-69.04709,Antarctica,AQ
18746,-85.66131999999999,-68.33267,Antarctica,AQ
18747,-85.67621,-69.0336,Antarctica,AQ
18748,-85.67642,-69.03719,Antarctica,AQ
18749,-85.65116,-68.58636,Antarctica,AQ
18750,-85.66126,-68.11959,Antarctica,AQ
18751,-85.68203000000001,-68.17912,Antarctica,AQ
18752,-85.66528000000001,-68.68308,Antarctica,AQ
18753,-85.67238,-68.22148,Antarctica,AQ
18754,-85.66673,-68.28574,Antarctica,AQ
18755,-85.59803000000001,-68.37021999999999,Antarctica,AQ
18756,-85.67676,-69.04928000000001,Antarctica,AQ
18757,-85.67846999999999,-69.0604,Antarctica,AQ
18758,-85.67876,-69.05982,Antarctica,AQ
18759,-85.66251,-68.54666,Antarctica,AQ
18760,-85.65685,-68.5441,Antarctica,AQ
18761,-85.67713,-68.26602,Antarctica,AQ
18762,-85.67866,-69.06528,Antarctica,AQ
18763,-85.67787,-69.05071,Antarctica,AQ
18764,-85.66443000000001,-68.32525,Antarctica,AQ
18765,-85.6698,-68.46076,Antarctica,AQ
18766,-85.66561,-68.30703000000001,Antarctica,AQ
18767,-85.65045,-68.66452,Antarctica,AQ
18768,-85.65128,-68.61946,Antarctica,AQ
18769,-85.67866,-69.06104,Antarctica,AQ
18770,-85.65753000000001,-68.60027,Antarctica,AQ
18771,-85.65535,-68.57543000000001,Antarctica,AQ
18772,-85.65847,-68.23216,Antarctica,AQ
18773,-85.67866,-69.06014,Antarctica,AQ
18774,-85.55819,-68.31586,Antarctica,AQ
18775,-85.66084000000001,-68.23017,Antarctica,AQ
18776,-85.65355,-68.60229,Antarctica,AQ
18777,-85.65141,-68.61913,Antarctica,AQ
18778,-85.67863,-69.06128000000001,Antarctica,AQ
18779,-85.65606,-68.48118000000001,Antarctica,AQ
18780,-85.61578,-68.58282,Antarctica,AQ
18781,-85.69314,-69.04703,Antarctica,AQ
34062,30.33333,-98.95,United States,US
18783,40.95,-103.08333,United States,US
18784,34.7,117.0,China,CN
18785,33.66667,-108.1,United States,US
18787,-29.116670000000003,122.08333,Australia,AU
18788,39.35,-99.91667,United States,US
18789,48.85,-64.43333,Canada,CA
18791,33.73,-102.57667,United States,US
18794,36.35333,-100.73167,United States,US
18795,37.73333,-89.85,United States,US
18796,35.05,-84.23333000000001,United States,US
18802,48.2,43.73333,Russia,RU
18803,53.35,87.18333,Russia,RU
18805,-34.78333,144.66666999999998,Australia,AU
18807,40.45,-102.38333,United States,US
18810,20.133329999999997,75.5,India,IN
18814,33.2,-105.0,United States,US
18815,34.5,-84.5,United States,US
18817,-18.941670000000002,-44.98333,Brazil,BR
18819,37.86667,-100.66667,United States,US
18820,37.86667,-100.66667,United States,US
18821,-35.90667,141.855,Australia,AU
18823,32.2,-111.0,United States,US
18824,41.18333,-104.06667,United States,US
18825,-30.41667,138.0,Australia,AU
18826,44.21667,-89.1,United States,US
55547,-33.58316,118.65661999999999,Australia,AU
18827,-35.38333,140.91666999999998,Australia,AU
18828,32.66667,-105.1,United States,US
18829,34.0,-115.78333,United States,US
18830,29.683329999999998,-98.91667,United States,US
18833,-17.3,-45.0,Brazil,BR
18836,-27.46667,-60.583330000000004,Argentina,AR
18838,40.43333,-80.0,United States,US
55548,-26.261670000000002,120.73333000000001,Australia,AU
18839,33.28333,-102.76666999999999,United States,US
18840,33.26667,-102.9,United States,US
18841,34.11667,-101.78333,United States,US
18842,34.11667,-101.78333,United States,US
18843,34.125,-101.75667,United States,US
18844,34.1875,-101.70416999999999,United States,US
54437,34.18513,-101.70558,United States,US
18845,48.66667,-4.05,France,FR
18847,28.01667,0.3,Algeria,DZ
31297,28.29767,0.6665,Algeria,DZ
31298,28.29833,0.66667,Algeria,DZ
31299,28.3,0.5,Algeria,DZ
31300,27.89167,0.21666999999999997,Algeria,DZ
45006,27.37033,0.70617,Algeria,DZ
18848,38.18333,-94.71667,United States,US
18850,41.33333,-86.31667,United States,US
31301,50.90333,21.54983,Poland,PL
51587,49.66883,42.8325,Russia,RU
18852,-25.78333,137.93333,Australia,AU
18854,20.537,9.53783,Niger,NE
18855,36.5,-104.5,United States,US
18856,36.5,-104.5,United States,US
18857,38.17,-110.36667,United States,US
18861,52.1,79.7,Russia,RU
18863,62.2,54.166669999999996,Russia,RU
18866,31.66333,-99.95,United States,US
18867,-29.831670000000003,136.85867,Australia,AU
18868,-27.76667,137.85,Australia,AU
18871,34.06667,-103.5,United States,US
18872,34.06667,-103.5,United States,US
18873,34.1,-103.41667,United States,US
18875,39.56667,-98.68333,United States,US
52091,-30.03306,-51.23,Brazil,BR
18877,33.11667,-101.38333,United States,US
18878,41.23333,-103.3,United States,US
54561,34.68222,-114.33046000000002,United States,US
54526,34.7049,-114.34572,United States,US
18880,38.66667,-82.78333,United States,US
18882,39.63333,-100.5,United States,US
18884,-7.566669999999999,110.83333,Indonesia,ID
18885,-30.46667,125.46667,Australia,AU
55719,-30.68833,125.51333000000001,Australia,AU
18886,53.7,79.5,Russia,RU
18889,35.66667,-115.36667,United States,US
47700,-29.35,121.76666999999999,Australia,AU
18893,38.56667,-85.23333000000001,United States,US
18894,27.866670000000003,-101.5,Mexico,MX
18895,34.4,-106.85,United States,US
18896,-28.883329999999997,-66.66667,Argentina,AR
18897,29.9,-112.68333,Mexico,MX
18903,-27.15,-69.91667,Chile,CL
18904,-77.33333,162.3,Antarctica,AQ
32771,29.5,-98.05,United States,US
18906,33.25,-83.25,United States,US
35461,21.37015,57.7291,Oman,OM
54475,33.24333,9.86638,Tunisia,TN
54610,43.75,92.91667,China,CN
18909,25.15,25.58333,Egypt,EG
18910,37.2,-116.7,United States,US
35634,33.68085,-114.1958,United States,US
18911,30.28306,3.62,Algeria,DZ
19002,-84.60358000000001,162.45587,Antarctica,AQ
19003,-84.41065,163.75571000000002,Antarctica,AQ
19004,-84.41511,163.67432,Antarctica,AQ
19005,-84.59784,162.25298999999998,Antarctica,AQ
19006,-84.59622,162.33977,Antarctica,AQ
19007,-84.59633000000001,162.32288,Antarctica,AQ
19008,-84.59300999999999,162.78483,Antarctica,AQ
19009,-84.6109,162.14203,Antarctica,AQ
19010,-84.59612,162.30508,Antarctica,AQ
19011,-84.5958,162.33756,Antarctica,AQ
19012,-84.59951,162.2393,Antarctica,AQ
19013,-84.5978,162.40027,Antarctica,AQ
19014,-84.59508000000001,162.34795,Antarctica,AQ
19015,-84.60576,162.17359,Antarctica,AQ
19016,-84.58632,162.61342,Antarctica,AQ
19017,-84.58632,162.61005,Antarctica,AQ
19018,-84.586,162.61563999999998,Antarctica,AQ
