id, reclat, reclong, country, country_abrv
5048,-30.133329999999997,126.36667,Australia,AU
5049,-34.31667,149.38333,Australia,AU
5050,-29.883329999999997,150.56667,Australia,AU
55546,-31.4875,122.12388999999999,Australia,AU
5052,-34.225,146.38166999999999,Australia,AU
5053,19.41667,51.03333,Saudi Arabia,SA
5054,31.66667,8.41667,Algeria,DZ
48983,25.571170000000002,12.37117,Libya,LY
48904,31.481,9.840689999999999,Tunisia,TN
48905,31.93833,10.28403,Tunisia,TN
48906,31.49972,9.87722,Tunisia,TN
48907,31.871640000000003,10.193610000000001,Tunisia,TN
48908,31.896890000000003,10.19572,Tunisia,TN
48909,31.89831,10.19528,Tunisia,TN
48910,31.921809999999997,10.1875,Tunisia,TN
48911,31.926440000000003,10.18961,Tunisia,TN
48912,31.926440000000003,10.18961,Tunisia,TN
5057,51.95,62.2,Kazakhstan,KZ
5058,38.0,-108.5,United States,US
5061,38.306670000000004,-99.71,United States,US
5062,49.96667,6.53333,Germany,DE
5066,35.58333,-82.35,United States,US
32765,40.86717,-119.18352,United States,US
5067,34.20583,-103.22222,United States,US
5069,40.5,-101.08333,United States,US
5070,52.77,-106.89667,Canada,CA
56564,39.91667,-101.2,United States,US
45973,-25.0,-69.5,Chile,CL
5074,33.59167,-103.02667,United States,US
5075,45.5,-77.0,Canada,CA
45972,38.66167,-115.51833,United States,US
5077,-41.18333,148.03333,Australia,AU
30445,35.8675,-114.19167,United States,US
5078,35.26667,-107.96667,United States,US
5079,40.2495,-118.93683,United States,US
5080,40.241479999999996,-118.94763,United States,US
5081,40.267520000000005,-118.94308000000001,United States,US
5082,40.27537,-118.9461,United States,US
5083,40.28563,-118.94657,United States,US
5084,40.28338,-118.94808,United States,US
5085,40.28247,-118.94872,United States,US
5086,40.27957,-118.94641999999999,United States,US
45959,40.2628,-118.95912,United States,US
51574,40.26667,-118.93333,United States,US
51575,40.26667,-118.93333,United States,US
54474,40.26667,-118.93333,United States,US
51576,40.26667,-118.93333,United States,US
51577,40.26667,-118.93333,United States,US
51578,40.26667,-118.93333,United States,US
51579,40.26667,-118.93333,United States,US
52962,40.2819,-118.94693000000001,United States,US
5087,29.87861,-96.87222,United States,US
5088,29.863059999999997,-96.92667,United States,US
5091,33.65167,-103.70833,United States,US
5092,-17.16667,-43.83333,Brazil,BR
5094,57.85,114.2,Russia,RU
5095,29.8,-98.8,United States,US
5096,52.5,68.8,Kazakhstan,KZ
5099,49.05,13.766670000000001,Czechia,CZ
5101,57.63333000000001,83.36667,Russia,RU
5102,-23.5,133.83333000000002,Australia,AU
5103,13.516670000000001,122.45,Philippines,PH
5104,26.26667,-81.75,United States,US
