id, reclat, reclong, country, country_abrv
14493,-84.28352,161.32426,Antarctica,AQ
14494,-84.27996999999999,161.38005,Antarctica,AQ
14495,-84.23135,161.4647,Antarctica,AQ
14496,-84.27201,161.41056,Antarctica,AQ
14497,-84.27045,161.39258999999998,Antarctica,AQ
14498,-84.2339,161.49871000000002,Antarctica,AQ
14499,-84.28622,161.37579,Antarctica,AQ
14500,-84.24585,161.40139,Antarctica,AQ
14501,-84.23295,161.47552,Antarctica,AQ
14502,-84.23111999999999,161.46335,Antarctica,AQ
14503,-84.23403,161.47591,Antarctica,AQ
14504,-84.23236,161.52292,Antarctica,AQ
14505,-84.23174,161.54752,Antarctica,AQ
14506,-84.28011,161.36336,Antarctica,AQ
14507,-84.23494000000001,161.5688,Antarctica,AQ
14508,-84.27863,161.37296,Antarctica,AQ
14509,-84.28735,161.356,Antarctica,AQ
14510,-84.2508,161.36938999999998,Antarctica,AQ
14511,-84.25065,161.45922,Antarctica,AQ
14512,-84.23555999999999,161.44866000000002,Antarctica,AQ
14513,-84.24404,161.43124,Antarctica,AQ
14514,-84.26988,161.40123,Antarctica,AQ
14515,-84.25319,161.41933,Antarctica,AQ
14516,-84.25303000000001,161.40416000000002,Antarctica,AQ
14517,-84.24466,161.42542,Antarctica,AQ
14518,-84.23111,161.44613,Antarctica,AQ
14519,-84.24989000000001,161.42846,Antarctica,AQ
14520,-84.23741,161.49372,Antarctica,AQ
14521,-84.25232,161.38808,Antarctica,AQ
14522,-84.24076,161.44866000000002,Antarctica,AQ
14523,-84.29139,161.51972,Antarctica,AQ
14524,-84.26265,161.44965,Antarctica,AQ
14525,-84.27297,161.72079,Antarctica,AQ
14526,-84.27411,161.68011,Antarctica,AQ
14527,-84.28911,161.37415,Antarctica,AQ
14528,-84.38365999999999,162.0802,Antarctica,AQ
14529,-84.273,161.72106000000002,Antarctica,AQ
14530,-84.27399,161.68038,Antarctica,AQ
14531,-84.27385,161.68648000000002,Antarctica,AQ
14532,-84.27398000000001,161.68045,Antarctica,AQ
14533,-84.26501999999999,161.40554,Antarctica,AQ
14534,-84.27395,161.68488,Antarctica,AQ
14535,-84.27386,161.68358999999998,Antarctica,AQ
14536,-84.27385,161.68323,Antarctica,AQ
14537,-84.27385,161.68648000000002,Antarctica,AQ
14538,-84.2739,161.68448,Antarctica,AQ
14539,-84.27378,161.68878999999998,Antarctica,AQ
14540,-84.27402,161.67908,Antarctica,AQ
14541,-84.27391999999999,161.68476,Antarctica,AQ
14542,-84.27372,161.68479,Antarctica,AQ
14543,-84.27385,161.6855,Antarctica,AQ
14544,-84.27388,161.68544,Antarctica,AQ
14545,-84.274,161.68062,Antarctica,AQ
14546,-84.27233000000001,161.41277,Antarctica,AQ
14547,-84.27398000000001,161.68286,Antarctica,AQ
14548,-84.27408,161.67855,Antarctica,AQ
14549,-84.27386,161.68397,Antarctica,AQ
14550,-84.27386,161.68437,Antarctica,AQ
14551,-84.27386,161.68563,Antarctica,AQ
14552,-84.27386,161.68738000000002,Antarctica,AQ
14553,-84.27391999999999,161.68763,Antarctica,AQ
14554,-84.27383,161.68483,Antarctica,AQ
14555,-84.27384,161.68393,Antarctica,AQ
14556,-84.27386,161.68358999999998,Antarctica,AQ
14557,-84.23337,161.48176,Antarctica,AQ
14558,-84.27394,161.68403,Antarctica,AQ
14559,-84.27386,161.68357,Antarctica,AQ
14560,-84.25408,161.39396000000002,Antarctica,AQ
14561,-84.27388,161.68711000000002,Antarctica,AQ
14562,-84.35811,161.24509,Antarctica,AQ
14563,-84.27377,161.68544,Antarctica,AQ
14564,-84.27375,161.68903999999998,Antarctica,AQ
14565,-84.27388,161.68468000000001,Antarctica,AQ
14566,-84.27372,161.68917,Antarctica,AQ
14567,-84.27383,161.68573,Antarctica,AQ
14568,-84.27394,161.68329,Antarctica,AQ
14569,-84.27378,161.68878999999998,Antarctica,AQ
14570,-84.27386,161.68472,Antarctica,AQ
14571,-84.27371,161.68486000000001,Antarctica,AQ
14572,-84.27378,161.68545,Antarctica,AQ
14573,-84.23543000000001,161.43983,Antarctica,AQ
14574,-84.2739,161.68472,Antarctica,AQ
14575,-84.27387,161.68554,Antarctica,AQ
14576,-84.27394,161.68329,Antarctica,AQ
14577,-84.27384,161.68376,Antarctica,AQ
14578,-84.27391,161.68428,Antarctica,AQ
14579,-84.27375,161.68588,Antarctica,AQ
14580,-84.27239,161.41307,Antarctica,AQ
14581,-84.27386,161.68358,Antarctica,AQ
14582,-84.26126,161.35465,Antarctica,AQ
14583,-84.27396,161.68221,Antarctica,AQ
