id, reclat, reclong, country, country_abrv
53633,-20.85001,-41.73356,Brazil,BR
24154,46.15,32.83333,Ukraine,UA
24158,56.13333000000001,77.26666999999999,Russia,RU
24162,35.33333,51.63333,Iran,IR
24165,48.41667,43.2,Russia,RU
24168,43.5,-91.16667,United States,US
24169,57.8,45.8,Russia,RU
24174,44.85,11.4,Italy,IT
24179,42.8,-4.66667,Spain,ES
24183,54.225,-111.69167,Canada,CA
24185,43.53333,22.633329999999997,Bulgaria,BG
24187,23.1,87.43333,India,IN
24188,16.83333,80.75,India,IN
24189,25.45,70.0,Pakistan,PK
24191,46.63333,0.16667,France,FR
24210,34.33333,-98.3,United States,US
24215,38.68333,-91.15,United States,US
24218,45.58333,-122.35,United States,US
47344,32.79732,21.787129999999998,Libya,LY
24244,48.95,17.383329999999997,Czechia,CZ
24249,41.266667,-73.266667,United States,US
24250,41.7,-72.65,United States,US
24251,41.71056,-72.67361,United States,US
49514,31.96185,-110.434183,United States,US
24281,-26.592779999999998,120.32833000000001,Australia,AU
24321,-26.0,30.0,South Africa,ZA
24322,-28.66667,18.91667,Namibia,NA
24323,-32.5,23.0,South Africa,ZA
24324,9.0,39.0,Ethiopia,ET
24325,54.136669999999995,-0.41333000000000003,United Kingdom,GB
24334,-27.75,115.83333,Australia,AU
24337,42.38467,-83.6115,United States,US
24340,36.75,114.25,China,CN
24345,44.66667,117.5,China,CN
24346,32.33333,114.31667,China,CN
24351,13.711110000000001,45.17,Yemen,YE
30345,1.0,22.5,Democratic Republic of the Congo,CD
30348,21.83333,111.83333,China,CN
30350,24.566670000000002,114.16667,China,CN
30352,38.93333,48.25,Azerbaijan,AZ
30358,14.3,79.76666999999999,India,IN
30366,37.75,139.0,Japan,JP
30370,41.28333,-73.81667,United States,US
30372,34.16667,131.45,Japan,JP
30377,28.71667,116.61667,China,CN
30378,47.31667,35.36667,Ukraine,UA
30379,50.28333,27.683329999999998,Ukraine,UA
30380,55.183330000000005,27.91667,Belarus,BY
30384,27.33333,-9.33333,Belarus,BY
30386,11.73333,7.08333,Nigeria,NG
30388,47.5,83.0,Kazakhstan,KZ
30389,33.7,133.8,Japan,JP
30391,32.3,112.75,China,CN
30395,47.13333,43.9,Russia,RU
30396,44.4,19.116670000000003,Serbia,RS
30397,49.88333,13.916670000000002,Czechia,CZ
30399,55.3,25.0,Lithuania,LT
30404,45.81667,125.91667,China,CN
30407,47.58333,37.25,Ukraine,UA
30408,39.66667,122.98333000000001,China,CN
30411,51.83333,26.83333,Belarus,BY
30412,-15.183329999999998,35.28333,Malawi,MW
30413,46.93333,21.5,Hungary,HU
30415,50.2,30.25,Ukraine,UA
4,26.8,-105.41667,Mexico,MX
51399,22.72192,48.95937,Saudi Arabia,SA
5,36.3,-104.28333,United States,US
7,33.85,-101.8,United States,US
8,60.433330000000005,22.3,Finland,FI
9,27.239440000000002,29.835829999999998,Egypt,EG
11,27.5,3.6166699999999996,Algeria,DZ
12,27.616670000000003,3.85,Algeria,DZ
13,27.816670000000002,4.03333,Algeria,DZ
14,27.58333,3.81667,Algeria,DZ
15,27.6,3.83333,Algeria,DZ
16,27.633329999999997,3.9666699999999997,Algeria,DZ
17,27.51667,3.65,Algeria,DZ
18,27.53333,3.7,Algeria,DZ
19,27.73333,4.08333,Algeria,DZ
20,27.75,4.1,Algeria,DZ
21,27.75,4.16667,Algeria,DZ
22,27.8,4.16667,Algeria,DZ
23,27.83333,4.28333,Algeria,DZ
24,27.8,4.46667,Algeria,DZ
25,27.78333,4.28333,Algeria,DZ
26,27.71667,4.4833300000000005,Algeria,DZ
27,27.73333,4.4,Algeria,DZ
28,27.7,4.08333,Algeria,DZ
29,27.7,4.066669999999999,Algeria,DZ
30,27.7,4.066669999999999,Algeria,DZ
31,27.55,3.6166699999999996,Algeria,DZ
32,27.51667,3.83333,Algeria,DZ
33,27.51667,3.91667,Algeria,DZ
34,27.55,3.93333,Algeria,DZ
35,27.58333,3.9666699999999997,Algeria,DZ
36,27.616670000000003,4.05,Algeria,DZ
37,27.66667,4.2,Algeria,DZ
38,27.66667,4.25,Algeria,DZ
39,27.683329999999998,4.33333,Algeria,DZ
40,27.683329999999998,4.41667,Algeria,DZ
41,27.66667,4.35,Algeria,DZ
42,27.65,4.46667,Algeria,DZ
43,27.65,4.433330000000001,Algeria,DZ
44,27.633329999999997,4.35,Algeria,DZ
45,27.6,4.3,Algeria,DZ
46,27.58333,4.25,Algeria,DZ
47,27.55,4.13333,Algeria,DZ
48,27.53333,4.0,Algeria,DZ
49,27.53333,3.91667,Algeria,DZ
50,27.46667,3.7833300000000003,Algeria,DZ
51,27.433329999999998,3.7166699999999997,Algeria,DZ
52,27.46667,3.83333,Algeria,DZ
53,27.51667,3.91667,Algeria,DZ
54,27.55,4.0,Algeria,DZ
56,27.78333,4.7,Algeria,DZ
57,27.83333,4.7,Algeria,DZ
58,27.55,4.08333,Algeria,DZ
59,27.41667,3.7166699999999997,Algeria,DZ
60,27.65,4.5,Algeria,DZ
61,27.616670000000003,4.41667,Algeria,DZ
62,27.75,4.15,Algeria,DZ
63,27.73333,4.05,Algeria,DZ
64,27.7,3.93333,Algeria,DZ
65,27.5,3.9833300000000005,Algeria,DZ
66,27.46667,3.8833300000000004,Algeria,DZ
67,27.383329999999997,3.7166699999999997,Algeria,DZ
68,27.51667,4.066669999999999,Algeria,DZ
69,27.566670000000002,4.16667,Algeria,DZ
70,27.6,4.25,Algeria,DZ
71,27.6,4.41667,Algeria,DZ
72,27.616670000000003,4.566669999999999,Algeria,DZ
73,27.616670000000003,4.566669999999999,Algeria,DZ
74,27.5,4.28333,Algeria,DZ
75,27.633329999999997,4.066669999999999,Algeria,DZ
76,27.71667,4.78333,Algeria,DZ
77,27.55,3.7,Algeria,DZ
78,27.53333,3.83333,Algeria,DZ
79,27.683329999999998,4.4833300000000005,Algeria,DZ
80,27.633329999999997,4.28333,Algeria,DZ
81,27.633329999999997,4.25,Algeria,DZ
82,27.53333,3.85,Algeria,DZ
83,27.48333,3.83333,Algeria,DZ
84,27.51667,3.7333300000000005,Algeria,DZ
85,27.7,4.35,Algeria,DZ
86,27.633329999999997,4.5166699999999995,Algeria,DZ
87,27.566670000000002,4.15,Algeria,DZ
88,27.5,3.68333,Algeria,DZ
89,27.633329999999997,4.5166699999999995,Algeria,DZ
90,27.53333,3.8666699999999996,Algeria,DZ
91,27.5,3.4833300000000005,Algeria,DZ
92,27.48333,3.6333300000000004,Algeria,DZ
93,27.55,3.8666699999999996,Algeria,DZ
94,27.58333,3.95,Algeria,DZ
95,27.66667,4.183330000000001,Algeria,DZ
96,27.7,4.2666699999999995,Algeria,DZ
97,27.75,4.433330000000001,Algeria,DZ
98,27.633329999999997,4.3,Algeria,DZ
99,27.5,3.83333,Algeria,DZ
100,27.45,4.11667,Algeria,DZ
101,27.66667,4.5166699999999995,Algeria,DZ
102,27.71667,4.13333,Algeria,DZ
103,27.73333,4.433330000000001,Algeria,DZ
104,27.71667,4.38333,Algeria,DZ
105,27.616670000000003,4.2,Algeria,DZ
106,27.51667,3.9666699999999997,Algeria,DZ
107,27.46667,3.8833300000000004,Algeria,DZ
108,27.45,3.83333,Algeria,DZ
109,27.46667,3.95,Algeria,DZ
110,27.53333,4.16667,Algeria,DZ
111,27.66667,4.46667,Algeria,DZ
112,27.8,4.5,Algeria,DZ
113,27.633329999999997,4.36667,Algeria,DZ
114,27.55,4.13333,Algeria,DZ
115,27.5,3.9,Algeria,DZ
116,27.45,3.75,Algeria,DZ
117,27.5,3.8833300000000004,Algeria,DZ
118,27.55,3.7666699999999995,Algeria,DZ
119,27.48333,3.8,Algeria,DZ
120,27.48333,3.8,Algeria,DZ
121,27.65,4.03333,Algeria,DZ
122,27.566670000000002,4.03333,Algeria,DZ
123,27.6,3.9666699999999997,Algeria,DZ
124,27.73333,4.16667,Algeria,DZ
125,27.73333,4.16667,Algeria,DZ
126,27.73333,4.2,Algeria,DZ
127,27.66667,4.2,Algeria,DZ
128,27.65,4.2333300000000005,Algeria,DZ
129,27.65,4.3,Algeria,DZ
130,27.683329999999998,4.33333,Algeria,DZ
131,27.5,3.66667,Algeria,DZ
132,27.46667,3.7666699999999995,Algeria,DZ
133,27.6,4.05,Algeria,DZ
134,27.683329999999998,4.35,Algeria,DZ
135,27.51667,3.8,Algeria,DZ
136,27.7,4.3,Algeria,DZ
137,27.5,4.3,Algeria,DZ
138,27.6,4.2,Algeria,DZ
139,27.58333,4.0,Algeria,DZ
140,27.58333,3.9666699999999997,Algeria,DZ
141,27.5,3.7666699999999995,Algeria,DZ
142,27.5,3.83333,Algeria,DZ
143,27.76667,4.53333,Algeria,DZ
144,27.55,4.03333,Algeria,DZ
145,27.46667,4.05,Algeria,DZ
146,27.58333,4.08333,Algeria,DZ
147,27.66667,4.08333,Algeria,DZ
148,27.566670000000002,4.08333,Algeria,DZ
149,27.566670000000002,4.08333,Algeria,DZ
150,27.58333,3.85,Algeria,DZ
151,27.566670000000002,4.35,Algeria,DZ
152,27.66667,4.45,Algeria,DZ
153,27.66667,4.28333,Algeria,DZ
154,27.66667,4.28333,Algeria,DZ
155,27.633329999999997,4.08333,Algeria,DZ
156,27.6,4.11667,Algeria,DZ
157,27.58333,4.066669999999999,Algeria,DZ
158,27.58333,4.05,Algeria,DZ
159,27.566670000000002,3.81667,Algeria,DZ
160,27.46667,3.7166699999999997,Algeria,DZ
161,27.433329999999998,3.75,Algeria,DZ
162,27.53333,3.95,Algeria,DZ
163,27.55,4.0166699999999995,Algeria,DZ
164,27.66667,4.25,Algeria,DZ
165,27.66667,4.2333300000000005,Algeria,DZ
166,27.66667,4.2333300000000005,Algeria,DZ
167,27.66667,4.21667,Algeria,DZ
168,27.5,3.93333,Algeria,DZ
169,27.46667,3.7166699999999997,Algeria,DZ
170,27.75,4.433330000000001,Algeria,DZ
171,27.66667,4.0166699999999995,Algeria,DZ
172,27.7,4.35,Algeria,DZ
173,27.53333,4.183330000000001,Algeria,DZ
174,27.566670000000002,4.33333,Algeria,DZ
175,27.51667,4.2333300000000005,Algeria,DZ
176,27.51667,4.0,Algeria,DZ
177,27.6,3.9833300000000005,Algeria,DZ
178,27.73333,4.11667,Algeria,DZ
179,27.65,4.25,Algeria,DZ
180,27.66667,4.16667,Algeria,DZ
181,27.65,4.03333,Algeria,DZ
182,27.48333,3.8666699999999996,Algeria,DZ
183,27.48333,3.85,Algeria,DZ
184,27.48333,3.85,Algeria,DZ
185,27.48333,3.85,Algeria,DZ
186,27.48333,3.75,Algeria,DZ
187,27.46667,3.75,Algeria,DZ
188,27.6,4.16667,Algeria,DZ
189,27.66667,4.2,Algeria,DZ
190,27.7,4.35,Algeria,DZ
191,27.58333,4.16667,Algeria,DZ
