id, reclat, reclong, country, country_abrv
12431,27.285,-9.59017,Argentina,AR
12432,36.38333,-98.08333,United States,US
12436,-37.75,140.3,Australia,AU
12437,-31.0,118.5,Australia,AU
55549,-26.21667,122.5,Australia,AU
12438,-30.71061,140.15142,Australia,AU
12439,-30.71061,140.15142,Australia,AU
12440,-30.71061,140.15142,Australia,AU
12441,-30.71061,140.15142,Australia,AU
12442,-30.71061,140.15142,Australia,AU
12443,-33.06667,118.21667,Australia,AU
12444,-30.53333,134.75,Australia,AU
12445,-24.83333,139.8,Australia,AU
12446,34.1,-97.0,United States,US
12447,-31.03333,138.2,Australia,AU
12448,35.56667,-100.66667,United States,US
12449,34.53333,-101.7,United States,US
12450,32.62972,-104.35,United States,US
12452,32.88333,-101.88333,United States,US
12453,38.07778,-96.02639,United States,US
12454,40.66667,-96.75,United States,US
12457,38.9,-79.18333,United States,US
12458,-25.66667,117.0,Australia,AU
12462,46.81667,9.71667,Switzerland,CH
12463,36.53333,-91.8,United States,US
12471,-86.36667,-70.0,Antarctica,AQ
12472,-86.36667,-70.0,Antarctica,AQ
12473,-86.36667,-70.0,Antarctica,AQ
12474,-86.36667,-70.0,Antarctica,AQ
12476,-86.36667,-70.0,Antarctica,AQ
12477,-86.36667,-70.0,Antarctica,AQ
12479,-86.36667,-70.0,Antarctica,AQ
12480,-86.36667,-70.0,Antarctica,AQ
12481,-86.36667,-70.0,Antarctica,AQ
12482,-86.36667,-70.0,Antarctica,AQ
12483,-86.36667,-70.0,Antarctica,AQ
12484,-86.36667,-70.0,Antarctica,AQ
12485,-86.36667,-70.0,Antarctica,AQ
12486,-86.36667,-70.0,Antarctica,AQ
12487,-86.36667,-70.0,Antarctica,AQ
12488,-86.36667,-70.0,Antarctica,AQ
12489,-86.36667,-70.0,Antarctica,AQ
12490,-86.36667,-70.0,Antarctica,AQ
12491,-86.36667,-70.0,Antarctica,AQ
12492,-86.36667,-70.0,Antarctica,AQ
12493,-86.36667,-70.0,Antarctica,AQ
12494,-86.36667,-70.0,Antarctica,AQ
12495,-86.36667,-70.0,Antarctica,AQ
12496,-86.36667,-70.0,Antarctica,AQ
12497,-86.36667,-70.0,Antarctica,AQ
12498,-86.36667,-70.0,Antarctica,AQ
12499,-86.36667,-70.0,Antarctica,AQ
12500,-86.36667,-70.0,Antarctica,AQ
12501,-86.36667,-70.0,Antarctica,AQ
12502,-86.36667,-70.0,Antarctica,AQ
12503,-86.36667,-70.0,Antarctica,AQ
12504,-86.36667,-70.0,Antarctica,AQ
12505,-86.36667,-70.0,Antarctica,AQ
12506,-86.36667,-70.0,Antarctica,AQ
12507,-86.36667,-70.0,Antarctica,AQ
12508,-86.36667,-70.0,Antarctica,AQ
12509,-86.36667,-70.0,Antarctica,AQ
12510,-86.36667,-70.0,Antarctica,AQ
12511,-86.36667,-70.0,Antarctica,AQ
12512,-86.36667,-70.0,Antarctica,AQ
12513,-86.36667,-70.0,Antarctica,AQ
12514,-86.36667,-70.0,Antarctica,AQ
12515,-86.36667,-70.0,Antarctica,AQ
12516,-86.36667,-70.0,Antarctica,AQ
12517,-86.36667,-70.0,Antarctica,AQ
12518,-86.36667,-70.0,Antarctica,AQ
12519,-86.36667,-70.0,Antarctica,AQ
12520,-86.36667,-70.0,Antarctica,AQ
12521,-86.36667,-70.0,Antarctica,AQ
12522,-86.36667,-70.0,Antarctica,AQ
12523,-86.36667,-70.0,Antarctica,AQ
12524,-86.36667,-70.0,Antarctica,AQ
12525,-86.36667,-70.0,Antarctica,AQ
12526,-86.36667,-70.0,Antarctica,AQ
12527,-86.36667,-70.0,Antarctica,AQ
12528,-86.36667,-70.0,Antarctica,AQ
12529,-86.36667,-70.0,Antarctica,AQ
12530,-86.36667,-70.0,Antarctica,AQ
12531,-86.36667,-70.0,Antarctica,AQ
12532,-86.36667,-70.0,Antarctica,AQ
12533,-86.36667,-70.0,Antarctica,AQ
12534,-86.36667,-70.0,Antarctica,AQ
12535,-86.36667,-70.0,Antarctica,AQ
12536,-86.36667,-70.0,Antarctica,AQ
