id, reclat, reclong, country, country_abrv
9446,-76.05565,156.27848999999998,Antarctica,AQ
9447,-75.99244,155.57338000000001,Antarctica,AQ
9448,-76.09729,156.23008000000002,Antarctica,AQ
9449,-76.04682,155.97253999999998,Antarctica,AQ
9450,-76.02643,155.90985,Antarctica,AQ
9451,-76.03863,155.90865,Antarctica,AQ
9452,-76.04583000000001,156.19073,Antarctica,AQ
9453,-76.02936,155.99999,Antarctica,AQ
9454,-76.05451,156.01421000000002,Antarctica,AQ
9455,-76.01319000000001,155.65975,Antarctica,AQ
9456,-76.07368000000001,156.09365,Antarctica,AQ
9457,-76.02017,155.99338999999998,Antarctica,AQ
9458,-76.05256999999999,156.05525,Antarctica,AQ
9459,-76.05532,156.03296,Antarctica,AQ
9460,-76.05726999999999,156.31412,Antarctica,AQ
9461,-76.0233,155.72746999999998,Antarctica,AQ
9462,-76.05945,155.8646,Antarctica,AQ
9463,-76.04893,156.42578999999998,Antarctica,AQ
9464,-76.06623,156.00851,Antarctica,AQ
9465,-76.03049,155.79297,Antarctica,AQ
9466,-76.05506,156.30897,Antarctica,AQ
9467,-76.03829,156.02557,Antarctica,AQ
9468,-76.03686,156.20215,Antarctica,AQ
9469,-76.08372,155.98715,Antarctica,AQ
9470,-76.10634,155.98465,Antarctica,AQ
9471,-76.06921,156.17207,Antarctica,AQ
9472,-76.05977,156.01113,Antarctica,AQ
9473,-76.09148,155.99633,Antarctica,AQ
9474,-76.05045,156.21656000000002,Antarctica,AQ
9475,-76.09741,155.99468000000002,Antarctica,AQ
9476,-76.05375,156.2343,Antarctica,AQ
9477,-76.0539,156.34312,Antarctica,AQ
9478,-76.03863,156.24095,Antarctica,AQ
9479,-76.03095,156.03015,Antarctica,AQ
9480,-76.10146999999999,156.25052,Antarctica,AQ
9481,-76.0596,156.04847,Antarctica,AQ
9482,-76.03839,156.12372,Antarctica,AQ
9483,-76.11219,156.02591999999999,Antarctica,AQ
9484,-76.04127,156.09181999999998,Antarctica,AQ
9485,-76.09364000000001,156.16849,Antarctica,AQ
9486,-76.04222,156.12818000000001,Antarctica,AQ
9487,-76.04038,156.15423,Antarctica,AQ
9488,-76.04295,156.11392,Antarctica,AQ
9489,-76.03115,156.03118,Antarctica,AQ
9490,-76.04583000000001,156.45768999999999,Antarctica,AQ
9491,-76.07348,156.06875,Antarctica,AQ
9492,-76.10605,155.99312,Antarctica,AQ
9493,-76.08364,156.23183,Antarctica,AQ
9494,-76.06445,156.02008999999998,Antarctica,AQ
9495,-76.0184,155.87736999999998,Antarctica,AQ
9496,-76.04799,156.09201000000002,Antarctica,AQ
9497,-76.04439,156.32457,Antarctica,AQ
9498,-76.03307,156.19815,Antarctica,AQ
9499,-76.03396,156.14348999999999,Antarctica,AQ
9500,-76.0381,156.1155,Antarctica,AQ
9501,-76.01494,155.84738000000002,Antarctica,AQ
9502,-76.04157,156.3003,Antarctica,AQ
9503,-76.07937,156.05796999999998,Antarctica,AQ
9504,-76.04775,156.18965,Antarctica,AQ
9505,-76.03701,156.12981000000002,Antarctica,AQ
9506,-76.04946,156.18946,Antarctica,AQ
9507,-76.06641,156.01349,Antarctica,AQ
9508,-76.07911999999999,156.05916000000002,Antarctica,AQ
9509,-76.04205999999999,156.06589,Antarctica,AQ
9510,-76.03725,156.12381000000002,Antarctica,AQ
9511,-76.03368,156.18816999999999,Antarctica,AQ
9512,-76.06102,156.08084,Antarctica,AQ
9513,-76.04364,156.13081,Antarctica,AQ
9514,-76.03950999999999,156.07932,Antarctica,AQ
9515,-76.05238,156.16419,Antarctica,AQ
9516,-76.07056,156.0177,Antarctica,AQ
9517,-76.05721,156.33781000000002,Antarctica,AQ
9518,-76.11494,156.02434,Antarctica,AQ
9519,-76.05608000000001,156.2619,Antarctica,AQ
9520,-76.04175,156.29928999999998,Antarctica,AQ
9521,-76.099,156.17471,Antarctica,AQ
9522,-76.10669,155.99759,Antarctica,AQ
9523,-76.04884,156.42619,Antarctica,AQ
